Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP32 GFLOPS,FP64 GFLOPS,Performance
ATI Radeon HD 3200 IGP,GPU,2008,65.0,81.0,85.0,180.0,500,Unknown,ATI,40.0,364.0,Medium
NVIDIA ION,GPU,2008,40.0,20.0,57.0,260.0,500,TSMC,NVIDIA,34.24,364.0,Medium
NVIDIA GeForce 9600 GS OEM,GPU,2008,65.0,81.0,240.0,505.0,500,TSMC,NVIDIA,120.0,364.0,Medium
ATI Mobility Radeon HD 3450,GPU,2008,55.0,81.0,67.0,181.0,500,TSMC,ATI,40.0,364.0,Medium
NVIDIA ION 2,GPU,2008,40.0,20.0,57.0,260.0,500,TSMC,NVIDIA,34.24,364.0,Medium
NVIDIA GeForce 9800M GTX,GPU,2008,65.0,75.0,324.0,754.0,500,TSMC,NVIDIA,280.0,364.0,Medium
ATI FireMV 2260 PCIe x1,GPU,2008,55.0,15.0,67.0,181.0,500,TSMC,ATI,40.0,364.0,Medium
ATI Mobility Radeon HD 3650,GPU,2008,55.0,81.0,135.0,378.0,500,TSMC,ATI,120.0,364.0,Medium
ATI FirePro 2260 PCI,GPU,2008,55.0,15.0,67.0,181.0,500,TSMC,ATI,40.0,364.0,Medium
NVIDIA Quadro FX 3600M,GPU,2008,65.0,70.0,324.0,754.0,500,TSMC,NVIDIA,160.0,364.0,Medium
NVIDIA GeForce 9600M GT,GPU,2008,55.0,23.0,121.0,314.0,500,TSMC,NVIDIA,80.0,364.0,Medium
ATI Radeon Xpress 2100 IGP,GPU,2008,65.0,81.0,85.0,180.0,500,Unknown,ATI,40.0,364.0,Medium
NVIDIA Quadro FX 3600M,GPU,2008,65.0,70.0,324.0,754.0,500,TSMC,NVIDIA,240.0,364.0,Medium
NVIDIA GeForce 9500M G,GPU,2008,65.0,20.0,144.0,314.0,500,UMC,NVIDIA,40.0,364.0,Medium
ATI FirePro RG220,GPU,2008,55.0,35.0,73.0,242.0,500,TSMC,ATI,80.0,364.0,Medium
NVIDIA GeForce 9800M GT,GPU,2008,65.0,65.0,324.0,754.0,500,TSMC,NVIDIA,240.0,364.0,Medium
NVIDIA GeForce GT 120M Mac Edition,GPU,2008,55.0,14.0,121.0,314.0,500,TSMC,NVIDIA,80.0,364.0,Medium
NVIDIA GeForce 9500 GS Rev. 2,GPU,2008,55.0,40.0,121.0,314.0,500,TSMC,NVIDIA,80.0,364.0,Medium
ATI Xbox 360 GPU 65nm,GPU,2008,65.0,150.0,181.0,232.0,500,TSMC,ATI,240.0,364.0,Medium
ATI Radeon HD 3300 IGP,GPU,2008,65.0,81.0,85.0,180.0,500,Unknown,ATI,40.0,364.0,Medium
NVIDIA GeForce 9600M GT Mac Edition,GPU,2008,55.0,23.0,121.0,314.0,500,TSMC,NVIDIA,80.0,364.0,Medium
ATI FireMV 2260,GPU,2008,55.0,15.0,67.0,181.0,500,TSMC,ATI,40.0,364.0,Medium
NVIDIA Quadro FX 3700,GPU,2008,65.0,78.0,324.0,754.0,500,TSMC,NVIDIA,280.0,364.0,Medium
NVIDIA GeForce 8800 GS Mac Edition,GPU,2008,65.0,105.0,324.0,754.0,500,TSMC,NVIDIA,160.0,364.0,Medium
ATI FireMV 2400 PCI,GPU,2008,130.0,20.0,92.0,75.0,500,TSMC,ATI,2135.0,364.0,Medium
NVIDIA GeForce 9500M GS,GPU,2008,80.0,20.0,169.0,289.0,475,TSMC,NVIDIA,60.8,364.0,Low
NVIDIA ION,GPU,2008,65.0,20.0,162.0,282.0,450,Unknown,NVIDIA,35.2,364.0,Low
NVIDIA ION,GPU,2008,65.0,20.0,162.0,282.0,450,Unknown,NVIDIA,35.2,364.0,Low
NVIDIA GeForce 9100M G mGPU AMD,GPU,2008,80.0,12.0,127.0,210.0,450,Unknown,AMD,35.2,364.0,Low
NVIDIA GeForce 9200M,GPU,2008,65.0,12.0,144.0,314.0,450,Unknown,NVIDIA,38.4,364.0,Low
NVIDIA GeForce 9400M G,GPU,2008,65.0,12.0,144.0,314.0,450,Unknown,NVIDIA,35.2,364.0,Low
NVIDIA ION,GPU,2008,65.0,20.0,144.0,314.0,450,Unknown,NVIDIA,35.2,364.0,Low
NVIDIA GeForce 9400M,GPU,2008,65.0,12.0,144.0,314.0,450,Unknown,NVIDIA,35.2,364.0,Low
NVIDIA ION LE,GPU,2008,65.0,20.0,162.0,282.0,450,Unknown,NVIDIA,35.2,364.0,Low
NVIDIA ION HX,GPU,2008,65.0,20.0,162.0,282.0,450,Unknown,NVIDIA,35.2,364.0,Low
ATI Mobility Radeon HD 3430,GPU,2008,55.0,12.0,67.0,181.0,450,TSMC,ATI,36.0,364.0,Low
NVIDIA GeForce 9600M GS,GPU,2008,55.0,20.0,121.0,314.0,430,TSMC,NVIDIA,68.8,364.0,Low
ATI Radeon X1050,GPU,2008,110.0,24.0,156.0,120.0,400,TSMC,ATI,2135.0,364.0,Low
ATI Radeon 2100 IGP,GPU,2008,55.0,81.0,73.0,120.0,400,Unknown,ATI,2135.0,364.0,Low
ATI Mobility Radeon HD 3410,GPU,2008,55.0,7.0,67.0,181.0,400,TSMC,ATI,32.0,364.0,Low
Intel GMA X4500M,GPU,2008,65.0,13.0,188.0,1930.0,400,Intel,Intel,64.0,364.0,Low
ATI Radeon HD 2400,GPU,2008,65.0,20.0,85.0,180.0,398,TSMC,ATI,31.84,364.0,Low
NVIDIA GeForce 6200 X2 PCI,GPU,2008,110.0,81.0,110.0,75.0,280,TSMC,NVIDIA,2135.0,364.0,Low
NVIDIA GeForce 6200 PCI,GPU,2008,110.0,81.0,110.0,75.0,280,TSMC,NVIDIA,2135.0,364.0,Low
ATI FireMV 2400 PCIe x1,GPU,2008,130.0,20.0,92.0,75.0,250,TSMC,ATI,2135.0,364.0,Low
Intel Pentium D 935,CPU,2007,65.0,95.0,140.0,376.0,3200,Intel,Intel,2135.0,364.0,High
AMD Athlon 64 X2 6400+ BE,CPU,2007,90.0,125.0,230.0,227.0,3200,Unknown,AMD,2135.0,364.0,High
AMD Athlon 64 X2 6000+,CPU,2007,65.0,89.0,126.0,154.0,3100,Unknown,AMD,2135.0,364.0,High
Intel Core 2 Duo E6850,CPU,2007,65.0,75.0,143.0,291.0,3000,Intel,Intel,2135.0,364.0,High
AMD Athlon 64 X2 6000+,CPU,2007,90.0,125.0,220.0,227.0,3000,Unknown,AMD,2135.0,364.0,High
Intel Core 2 Extreme QX6850,CPU,2007,65.0,130.0,143.0,582.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core 2 Extreme QX9650,CPU,2007,45.0,130.0,107.0,820.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core 2 Extreme QX6800,CPU,2007,65.0,130.0,143.0,582.0,2933,Intel,Intel,2135.0,364.0,High
Intel Core 2 Extreme X7900,CPU,2007,65.0,44.0,143.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
AMD Athlon 64 X2 5200+,CPU,2007,65.0,65.0,126.0,154.0,2700,Unknown,AMD,2135.0,364.0,Medium
Intel Core 2 Duo E6750,CPU,2007,65.0,65.0,143.0,291.0,2667,Intel,Intel,2135.0,364.0,Medium
Intel Core 2 Quad Q6700,CPU,2007,65.0,95.0,143.0,582.0,2666,Intel,Intel,2135.0,364.0,Medium
AMD Athlon 64 X2 5000+ EE,CPU,2007,90.0,65.0,220.0,154.0,2600,Unknown,AMD,2135.0,364.0,Medium
AMD Athlon 64 4000+,CPU,2007,90.0,62.0,230.0,227.0,2600,Unknown,AMD,2135.0,364.0,Medium
Intel Core 2 Duo T7800,CPU,2007,65.0,35.0,143.0,293.0,2600,Intel,Intel,2135.0,364.0,Medium
AMD Athlon 64 LE-1640,CPU,2007,90.0,45.0,230.0,227.0,2600,Unknown,AMD,2135.0,364.0,Medium
AMD Athlon 64 X2 5000+ BE,CPU,2007,65.0,65.0,126.0,154.0,2600,Unknown,AMD,2135.0,364.0,Medium
AMD Athlon 64 LE-1620,CPU,2007,90.0,45.0,230.0,227.0,2400,Unknown,AMD,2135.0,364.0,Medium
Intel Core 2 Quad Q6600 (105W),CPU,2007,65.0,105.0,143.0,582.0,2400,Intel,Intel,2135.0,364.0,Medium
AMD Athlon 64 3800+,CPU,2007,90.0,62.0,230.0,227.0,2400,Unknown,AMD,2135.0,364.0,Medium
AMD Athlon 64 3800+,CPU,2007,65.0,45.0,77.0,122.0,2400,Unknown,AMD,2135.0,364.0,Medium
Intel Core 2 Duo T7700,CPU,2007,65.0,35.0,143.0,293.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Core 2 Duo E4600,CPU,2007,65.0,65.0,111.0,167.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Core 2 Quad Q6600 (95W),CPU,2007,65.0,95.0,143.0,582.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Core 2 Duo E6550,CPU,2007,65.0,65.0,143.0,291.0,2333,Intel,Intel,2135.0,364.0,Medium
